qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
959591,2_heur/,500,500,1,269_131_105_71_32_20_10_6_1,42_84_126_168_210_252_294_336_378_420,0,87990,210501,53625,48048,NULL
535883,2_heur/,500,500,1,500_500_500_500_500_500_496_479_433_356_267_189_119_71_43_13_3_1,21_42_63_84_105_126_147_168_189_210_231_252_273_294_315_336_357_378_399_420,1,87990,210501,150226,125349,500.0_494.5_489.0_483.5_478.0_472.5_467.0_461.5_456.0_450.5_445.0_439.5_434.0_428.5_423.0_417.5_412.0_406.5_401.0_395.5_390.0_384.5_379.0_373.5_368.0_362.5_357.0_351.5_346.0_340.5_335.0_329.5_324.0_318.5_313.0_307.5_302.0_296.5_291.0_285.5_280.0_274.5_269.0_265.7143_262.4286_259.1429_255.8571_252.5714_249.2857_246.0_242.7143_239.4286_236.1429_232.8571_229.5714_226.2857_223.0_219.7143_216.4286_213.1429_209.8571_206.5714_203.2857_200.0_196.7143_193.4286_190.1429_186.8571_183.5714_180.2857_177.0_173.7143_170.4286_167.1429_163.8571_160.5714_157.2857_154.0_150.7143_147.4286_144.1429_140.8571_137.5714_134.2857_131.0_130.381_129.7619_129.1429_128.5238_127.9048_127.2857_126.6667_126.0476_125.4286_124.8095_124.1905_123.5714_122.9524_122.3333_121.7143_121.0952_120.4762_119.8571_119.2381_118.619_118.0_117.381_116.7619_116.1429_115.5238_114.9048_114.2857_113.6667_113.0476_112.4286_111.8095_111.1905_110.5714_109.9524_109.3333_108.7143_108.0952_107.4762_106.8571_106.2381_105.619_105.0_104.1905_103.381_102.5714_101.7619_100.9524_100.1429_99.3333_98.5238_97.7143_96.9048_96.0952_95.2857_94.4762_93.6667_92.8571_92.0476_91.2381_90.4286_89.619_88.8095_88.0_87.1905_86.381_85.5714_84.7619_83.9524_83.1429_82.3333_81.5238_80.7143_79.9048_79.0952_78.2857_77.4762_76.6667_75.8571_75.0476_74.2381_73.4286_72.619_71.8095_71.0_70.0714_69.1429_68.2143_67.2857_66.3571_65.4286_64.5_63.5714_62.6429_61.7143_60.7857_59.8571_58.9286_58.0_57.0714_56.1429_55.2143_54.2857_53.3571_52.4286_51.5_50.5714_49.6429_48.7143_47.7857_46.8571_45.9286_45.0_44.0714_43.1429_42.2143_41.2857_40.3571_39.4286_38.5_37.5714_36.6429_35.7143_34.7857_33.8571_32.9286_32.0_31.7143_31.4286_31.1429_30.8571_30.5714_30.2857_30.0_29.7143_29.4286_29.1429_28.8571_28.5714_28.2857_28.0_27.7143_27.4286_27.1429_26.8571_26.5714_26.2857_26.0_25.7143_25.4286_25.1429_24.8571_24.5714_24.2857_24.0_23.7143_23.4286_23.1429_22.8571_22.5714_22.2857_22.0_21.7143_21.4286_21.1429_20.8571_20.5714_20.2857_20.0_19.7619_19.5238_19.2857_19.0476_18.8095_18.5714_18.3333_18.0952_17.8571_17.619_17.381_17.1429_16.9048_16.6667_16.4286_16.1905_15.9524_15.7143_15.4762_15.2381_15.0_14.7619_14.5238_14.2857_14.0476_13.8095_13.5714_13.3333_13.0952_12.8571_12.619_12.381_12.1429_11.9048_11.6667_11.4286_11.1905_10.9524_10.7143_10.4762_10.2381_10.0_9.9048_9.8095_9.7143_9.619_9.5238_9.4286_9.3333_9.2381_9.1429_9.0476_8.9524_8.8571_8.7619_8.6667_8.5714_8.4762_8.381_8.2857_8.1905_8.0952_8.0_7.9048_7.8095_7.7143_7.619_7.5238_7.4286_7.3333_7.2381_7.1429_7.0476_6.9524_6.8571_6.7619_6.6667_6.5714_6.4762_6.381_6.2857_6.1905_6.0952_6.0_5.881_5.7619_5.6429_5.5238_5.4048_5.2857_5.1667_5.0476_4.9286_4.8095_4.6905_4.5714_4.4524_4.3333_4.2143_4.0952_3.9762_3.8571_3.7381_3.619_3.5_3.381_3.2619_3.1429_3.0238_2.9048_2.7857_2.6667_2.5476_2.4286_2.3095_2.1905_2.0714_1.9524_1.8333_1.7143_1.5952_1.4762_1.3571_1.2381_1.119_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0
550234,2_heur/,500,500,1,500_500_500_495_431_312_121_46_21_4_1,42_75_108_141_174_207_240_273_306_339_372_420,2,87990,210501,132411,117690,-1
472088,2_heur/,500,500,1,500_500_500_487_396_220_75_24_6_1,45_84_123_162_201_240_279_318_357_420,3,87990,210501,142089,128256,-1
187914,2_heur/,500,500,1,500_497_481_389_260_146_72_22_8_1,45_84_123_162_201_240_279_318_357_420,4,87990,210501,127818,115317,-1
37322,2_heur/,500,500,1,500_500_500_497_451_334_129_30_1,45_84_123_162_201_240_279_318_357_420,5,87990,210501,151964,137199,-1
395402,2_heur/,500,500,1,500_479_382_267_100_33_14_4_1,66_108_150_192_234_276_318_360_420,6,87990,210501,117907,107790,-1
500767,2_heur/,500,500,1,500_500_500_500_339_88_31_8_4_1,104_139_174_209_244_279_314_349_384_420,7,87990,210501,151335,138454,-1
770647,2_heur/,500,500,1,337_207_100_39_22_7_3_1,104_139_174_209_244_279_314_349_384_420,8,87990,210501,82886,77025,-1
337587,2_heur/,500,500,1,464_393_290_196_101_39_22_9_4_1,104_139_174_209_244_279_314_349_384_420,9,87990,210501,114207,105134,-1
