qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
965203,NULL,200,200,1,200_200_200_174_91_25_7_4_2_1,12_24_36_48_60_72_84_96_108_128,0,8128,25801,18065,13252,NULL
539018,NULL,200,200,1,181_130_34_19_5_1,60_72_84_96_108_128,1,8128,25801,19145,16468,200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_197.8333_195.6667_193.5_191.3333_189.1667_187.0_184.8333_182.6667_180.5_178.3333_176.1667_174.0_167.0833_160.1667_153.25_146.3333_139.4167_132.5_125.5833_118.6667_111.75_104.8333_97.9167_91.0_85.5_80.0_74.5_69.0_63.5_58.0_52.5_47.0_41.5_36.0_30.5_25.0_23.5_22.0_20.5_19.0_17.5_16.0_14.5_13.0_11.5_10.0_8.5_7.0_6.75_6.5_6.25_6.0_5.75_5.5_5.25_5.0_4.75_4.5_4.25_4.0_3.8333_3.6667_3.5_3.3333_3.1667_3.0_2.8333_2.6667_2.5_2.3333_2.1667_2.0_1.95_1.9_1.85_1.8_1.75_1.7_1.65_1.6_1.55_1.5_1.45_1.4_1.35_1.3_1.25_1.2_1.15_1.1_1.05_1.0
553452,NULL,200,200,1,84_29_11_4_2_1,60_72_84_96_108_128,2,8128,25801,15297,13576,-1
474849,NULL,200,200,1,52_22_6_5_3_1,60_72_84_96_108_128,3,8128,25801,14633,13080,-1
189013,NULL,200,200,1,134_71_23_12_3_2_1,48_60_72_84_96_108_128,4,8128,25801,14737,12556,-1
37540,NULL,200,200,1,141_62_36_15_8_4_1,48_60_72_84_96_108_128,5,8128,25801,15089,12824,-1
397715,NULL,200,200,1,38_26_14_9_4_3_1,48_60_72_84_96_108_128,6,8128,25801,12329,10752,-1
503696,NULL,200,200,1,197_177_128_60_18_8_1,38_53_68_83_98_113_128,7,8128,25801,19973,16420,-1
775155,NULL,200,200,1,172_35_7_3_2_1,38_53_68_83_98_113_128,8,8128,25801,12962,10885,-1
339562,NULL,200,200,1,198_141_36_10_2_1,38_53_68_83_98_113_128,9,8128,25801,16154,13405,-1
969910,NULL,200,200,1,54_13_7_2_2_2_1,42_56_70_84_98_112_128,10,8128,25801,11045,9524,-1
112810,NULL,200,200,1,135_92_47_25_20_11_1,42_56_70_84_98_112_128,11,8128,25801,15563,13042,-1
657243,NULL,200,200,1,200_194_133_42_11_1,42_56_70_84_98_112_128,12,8128,25801,20041,16520,-1
28686,NULL,200,200,1,184_146_78_33_11_4_1,42_56_70_84_98_112_128,13,8128,25801,17817,14792,-1
219726,NULL,200,200,1,129_89_60_24_9_5_1,42_56_70_84_98_112_128,14,8128,25801,15299,12834,-1
127643,NULL,200,200,1,192_125_50_17_6_1,42_56_70_84_98_112_128,15,8128,25801,16621,13860,-1
978083,NULL,200,200,1,195_174_116_41_17_9_1,42_56_70_84_98_112_128,16,8128,25801,19555,16146,-1
678971,NULL,200,200,1,196_165_59_25_3_2_1,42_56_70_84_98_112_128,17,8128,25801,17705,14704,-1
554003,NULL,200,200,1,96_34_17_9_6_4_1,46_59_72_85_98_111_128,18,8128,25801,13239,11374,-1
862445,NULL,200,200,1,152_64_30_9_5_4_1,45_58_71_84_97_110_128,19,8128,25801,14709,12452,-1
952403,NULL,200,200,1,198_134_70_18_8_2_1,45_58_71_84_97_110_128,20,8128,25801,17521,14600,-1
377205,NULL,200,200,1,192_134_92_34_15_6_1,46_59_72_85_98_111_128,21,8128,25801,18466,15373,-1
861812,NULL,200,200,1,196_169_114_66_14_6_1,46_59_72_85_98_111_128,22,8128,25801,20030,16569,-1
290022,NULL,200,200,1,193_182_133_75_22_7_1,46_59_72_85_98_111_128,23,8128,25801,20833,17184,-1
703940,NULL,200,200,1,139_111_72_46_23_5_1,46_59_72_85_98_111_128,24,8128,25801,17153,14368,-1
828320,NULL,200,200,1,195_158_66_23_6_2_1,46_59_72_85_98_111_128,25,8128,25801,18059,15058,-1
377732,NULL,200,200,1,197_143_91_24_10_3_1,46_59_72_85_98_111_128,26,8128,25801,18369,15296,-1
656053,NULL,200,200,1,17_9_5_3_2_1,56_70_84_98_112_128,27,8128,25801,13053,11708,-1
729727,NULL,200,200,1,87_32_13_8_5_1,55_69_83_97_111_128,28,8128,25801,14826,13045,-1
88384,NULL,200,200,1,190_158_94_55_17_3_1,42_56_70_84_98_112_128,29,8128,25801,18913,15644,-1
761778,NULL,200,200,1,95_18_9_6_3_1,55_69_83_97_111_128,30,8128,25801,14568,12843,-1
195890,NULL,200,200,1,191_148_92_29_7_1,42_56_70_84_98_112_128,31,8128,25801,18007,14938,-1
289810,NULL,200,200,1,159_43_10_1,55_69_83_97_111_128,32,8128,25801,16017,13968,-1
