qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
965203,NULL,500,200,1,500_500_499_438_202_63_21_10_4_1,12_24_36_48_60_72_84_96_108_128,0,8128,64501,44825,32876,NULL
539018,NULL,500,200,1,420_277_66_31_9_1,60_72_84_96_108_128,1,8128,64501,45921,39708,500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_499.9167_499.8333_499.75_499.6667_499.5833_499.5_499.4167_499.3333_499.25_499.1667_499.0833_499.0_493.9167_488.8333_483.75_478.6667_473.5833_468.5_463.4167_458.3333_453.25_448.1667_443.0833_438.0_418.3333_398.6667_379.0_359.3333_339.6667_320.0_300.3333_280.6667_261.0_241.3333_221.6667_202.0_190.4167_178.8333_167.25_155.6667_144.0833_132.5_120.9167_109.3333_97.75_86.1667_74.5833_63.0_59.5_56.0_52.5_49.0_45.5_42.0_38.5_35.0_31.5_28.0_24.5_21.0_20.0833_19.1667_18.25_17.3333_16.4167_15.5_14.5833_13.6667_12.75_11.8333_10.9167_10.0_9.5_9.0_8.5_8.0_7.5_7.0_6.5_6.0_5.5_5.0_4.5_4.0_3.85_3.7_3.55_3.4_3.25_3.1_2.95_2.8_2.65_2.5_2.35_2.2_2.05_1.9_1.75_1.6_1.45_1.3_1.15_1.0
553452,NULL,500,200,1,200_102_36_18_13_1,60_72_84_96_108_128,2,8128,64501,39009,34532,-1
474849,NULL,500,200,1,146_68_35_19_6_1,56_70_84_98_112_128,3,8128,64501,35945,31848,-1
189013,NULL,500,200,1,383_91_33_15_4_2_1,42_56_70_84_98_112_128,4,8128,64501,33509,28396,-1
37540,NULL,500,200,1,471_218_111_32_11_3_1,42_56_70_84_98_112_128,5,8128,64501,39235,32850,-1
397715,NULL,500,200,1,130_39_19_10_5_1,42_56_70_84_98_112_128,6,8128,64501,27655,23842,-1
503696,NULL,500,200,1,328_24_3_2_2_1,42_56_70_84_98_112_128,7,8128,64501,30463,26026,-1
775155,NULL,500,200,1,172_53_21_9_4_1,42_56_70_84_98_112_128,8,8128,64501,28663,24626,-1
339562,NULL,500,200,1,500_481_307_67_12_3_1,28_42_56_70_84_98_112_128,9,8128,64501,41661,33180,-1
969910,NULL,500,200,1,161_40_7_6_3_1,42_56_70_84_98_112_128,10,8128,64501,27907,24038,-1
112810,NULL,500,200,1,465_372_250_132_73_48_15_1,28_42_56_70_84_98_112_128,11,8128,64501,41421,33000,-1
657243,NULL,500,200,1,500_479_300_96_20_4_1,42_56_70_84_98_112_128,12,8128,64501,49191,40594,-1
28686,NULL,500,200,1,458_276_96_30_16_4_1,42_56_70_84_98_112_128,13,8128,64501,39849,33328,-1
219726,NULL,500,200,1,314_139_37_11_2_1,42_56_70_84_98_112_128,14,8128,64501,33055,28042,-1
127643,NULL,500,200,1,490_355_162_69_21_9_1,42_56_70_84_98_112_128,15,8128,64501,43927,36502,-1
