qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
965203,NULL,200,500,1,34_7_2_2_2_2_1,25_50_75_100_125_150_175_200_225_256,0,32640,51401,7622,6225,NULL
539018,NULL,200,500,1,175_60_24_10_7_7_5_4_2_2_2_2_1,12_25_38_51_64_77_90_103_116_129_142_155_168_181_194_207_220_233_256,1,32640,51401,8701,6300,200.0_193.36_186.72_180.08_173.44_166.8_160.16_153.52_146.88_140.24_133.6_126.96_120.32_113.68_107.04_100.4_93.76_87.12_80.48_73.84_67.2_60.56_53.92_47.28_40.64_34.0_32.92_31.84_30.76_29.68_28.6_27.52_26.44_25.36_24.28_23.2_22.12_21.04_19.96_18.88_17.8_16.72_15.64_14.56_13.48_12.4_11.32_10.24_9.16_8.08_7.0_6.8_6.6_6.4_6.2_6.0_5.8_5.6_5.4_5.2_5.0_4.8_4.6_4.4_4.2_4.0_3.8_3.6_3.4_3.2_3.0_2.8_2.6_2.4_2.2_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_2.0_1.96_1.92_1.88_1.84_1.8_1.76_1.72_1.68_1.64_1.6_1.56_1.52_1.48_1.44_1.4_1.36_1.32_1.28_1.24_1.2_1.16_1.12_1.08_1.04_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0
553452,NULL,200,500,1,185_42_19_6_2_2_1,12_25_38_51_64_77_90_103_116_129_142_155_168_181_194_207_220_233_256,2,32640,51401,7953,5728,-1
474849,NULL,200,500,1,99_43_24_14_8_5_1_1_1,17_25_33_41_49_57_65_73_81_89_97_105_113_121_129_137_145_153_161_169_177_185_193_201_209_217_225_233_241_256,3,32640,51401,6941,4960,-1
189013,NULL,200,500,1,152_73_24_16_14_10_7_5_5_5_3_2_2_1,17_25_33_41_49_57_65_73_81_89_97_105_113_121_129_137_145_153_161_169_177_185_193_201_209_217_225_233_241_256,4,32640,51401,8417,5944,-1
37540,NULL,200,500,1,193_107_42_22_13_9_7_3_3_3_3_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_1,17_25_33_41_49_57_65_73_81_89_97_105_113_121_129_137_145_153_161_169_177_185_193_201_209_217_225_233_241_256,5,32640,51401,9907,6942,-1
397715,NULL,200,500,1,42_16_11_7_5_4_3_3_3_2_1,19_27_35_43_51_59_67_75_83_91_99_107_115_123_131_139_147_155_163_171_179_187_195_203_211_219_227_235_243_256,6,32640,51401,6153,4568,-1
503696,NULL,200,500,1,195_164_86_55_42_31_10_8_4_3_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_1,17_25_33_41_49_57_65_73_81_89_97_105_113_121_129_137_145_153_161_169_177_185_193_201_209_217_225_233_241_256,7,32640,51401,12209,8472,-1
775155,NULL,200,500,1,31_15_11_5_5_4_4_3_3_3_3_2_2_2_2_2_2_1,22_33_44_55_66_77_88_99_110_121_132_143_154_165_176_187_198_209_220_231_242_256,8,32640,51401,7086,5489,-1
339562,NULL,200,500,1,200_200_197_179_148_128_107_76_75_54_50_41_14_14_11_11_11_11_11_11_11_11,21_32_43_54_65_76_87_98_109_120_131_142_153_164_175_186_197_208_219_230_241_256,9,32640,51401,28855,21404,-1
969910,NULL,200,500,1,42_18_11_8_6_5_4_4_3_3_3_3_3_3_2_2_1,22_36_50_64_78_92_106_120_134_148_162_176_190_204_218_232_256,10,32640,51401,7781,6100,-1
112810,NULL,200,500,1,117_32_16_12_7_5_4_3_3_3_3_2_2_1,22_36_50_64_78_92_106_120_134_148_162_176_190_204_218_232_256,11,32640,51401,9363,7326,-1
657243,NULL,200,500,1,55_19_10_9_7_5_4_2_1,22_36_50_64_78_92_106_120_134_148_162_176_190_204_218_232_256,12,32640,51401,7599,5954,-1
28686,NULL,200,500,1,45_23_8_6_6_4_4_4_4_3_3_2_2_2_2_2_1,22_36_50_64_78_92_106_120_134_148_162_176_190_204_218_232_256,13,32640,51401,7781,6100,-1
219726,NULL,200,500,1,44_14_7_5_3_3_2_2_1,22_36_50_64_78_92_106_120_134_148_162_176_190_204_218_232_256,14,32640,51401,7041,5520,-1
127643,NULL,200,500,1,49_21_7_4_2_2_2_2_2_2_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,15,32640,51401,7075,5502,-1
978083,NULL,200,500,1,199_178_160_118_85_60_35_35_35_26_23_18_9_9_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,16,32640,51401,23221,18060,-1
678971,NULL,200,500,1,60_17_9_7_5_4_3_3_3_3_3_2_2_2_2_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,17,32640,51401,7651,5950,-1
554003,NULL,200,500,1,27_9_5_4_3_2_2_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,18,32640,51401,6337,4928,-1
862445,NULL,200,500,1,54_16_6_2_2_2_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,19,32640,51401,6877,5348,-1
952403,NULL,200,500,1,45_11_2_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,20,32640,51401,6445,5012,-1
377205,NULL,200,500,1,39_13_5_5_4_3_3_3_2_2_2_2_2_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,21,32640,51401,6931,5390,-1
861812,NULL,200,500,1,163_60_17_6_2_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,22,32640,51401,9865,7672,-1
290022,NULL,200,500,1,136_58_28_17_14_9_6_4_4_2_2_2_2_2_2_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,23,32640,51401,10585,8232,-1
703940,NULL,200,500,1,67_15_5_3_3_3_3_2_2_2_2_2_2_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,24,32640,51401,7399,5754,-1
828320,NULL,200,500,1,87_10_6_4_3_3_3_2_2_2_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,25,32640,51401,7597,5908,-1
377732,NULL,200,500,1,200_200_191_150_70_16_8_8_8_8_8_8_8_8_8_8_8,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,26,32640,51401,21822,16986,-1
656053,NULL,200,500,1,57_30_16_12_10_7_7_6_5_5_3_2_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,27,32640,51401,8281,6440,-1
729727,NULL,200,500,1,85_33_21_11_8_4_3_3_3_3_2_2_2_2_2_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,28,32640,51401,8713,6776,-1
88384,NULL,200,500,1,142_44_21_18_16_12_7_6_5_5_4_4_2_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,29,32640,51401,10549,8204,-1
761778,NULL,200,500,1,120_45_24_12_9_8_6_5_3_3_3_3_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,30,32640,51401,9739,7574,-1
195890,NULL,200,500,1,106_34_18_14_10_6_6_5_4_4_4_4_4_4_3_3_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,31,32640,51401,9556,7439,-1
289810,NULL,200,500,1,55_11_5_3_2_2_1,21_35_49_63_77_91_105_119_133_147_161_175_189_203_217_231_256,32,32640,51401,6805,5292,-1
