qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
965203,NULL,500,200,1,375_147_73_24_12_6_3_3_1,12_24_36_48_60_72_84_96_108_128,0,8128,64501,19289,13716,NULL
539018,NULL,500,200,1,347_109_55_26_12_6_5_5_3_1,12_24_36_48_60_72_84_96_108_128,1,8128,64501,18113,12840,500.0_489.5833_479.1667_468.75_458.3333_447.9167_437.5_427.0833_416.6667_406.25_395.8333_385.4167_375.0_356.0_337.0_318.0_299.0_280.0_261.0_242.0_223.0_204.0_185.0_166.0_147.0_140.8333_134.6667_128.5_122.3333_116.1667_110.0_103.8333_97.6667_91.5_85.3333_79.1667_73.0_68.9167_64.8333_60.75_56.6667_52.5833_48.5_44.4167_40.3333_36.25_32.1667_28.0833_24.0_23.0_22.0_21.0_20.0_19.0_18.0_17.0_16.0_15.0_14.0_13.0_12.0_11.5_11.0_10.5_10.0_9.5_9.0_8.5_8.0_7.5_7.0_6.5_6.0_5.75_5.5_5.25_5.0_4.75_4.5_4.25_4.0_3.75_3.5_3.25_3.0_3.0_3.0_3.0_3.0_3.0_3.0_3.0_3.0_3.0_3.0_3.0_3.0_2.8333_2.6667_2.5_2.3333_2.1667_2.0_1.8333_1.6667_1.5_1.3333_1.1667_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0_1.0
553452,NULL,500,200,1,454_116_26_7_4_3_3_2_1,12_24_36_48_60_72_84_96_108_128,2,8128,64501,18841,13380,-1
474849,NULL,500,200,1,105_20_7_4_3_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,3,8128,64501,12693,9128,-1
189013,NULL,500,200,1,13_7_4_2_2_2_2_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,4,8128,64501,11433,8288,-1
37540,NULL,500,200,1,273_99_48_22_14_7_5_3_3_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,5,8128,64501,16713,11808,-1
397715,NULL,500,200,1,256_129_38_15_9_4_4_4_2_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,6,8128,64501,16581,11720,-1
503696,NULL,500,200,1,175_76_42_25_16_12_10_8_6_5_4_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,7,8128,64501,15573,11048,-1
775155,NULL,500,200,1,98_32_17_10_5_3_2_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,8,8128,64501,13053,9368,-1
339562,NULL,500,200,1,66_23_12_9_6_3_3_2_2_2_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,9,8128,64501,12585,9056,-1
969910,NULL,500,200,1,234_34_8_4_4_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,10,8128,64501,14409,10272,-1
112810,NULL,500,200,1,68_30_14_10_6_6_6_5_5_3_3_3_3_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,11,8128,64501,12969,9312,-1
657243,NULL,500,200,1,391_230_129_54_24_19_9_6_3_3_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,12,8128,64501,21465,14976,-1
28686,NULL,500,200,1,385_241_138_77_46_22_14_8_8_5_4_3_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,13,8128,64501,22461,15640,-1
219726,NULL,500,200,1,114_46_19_12_10_10_6_5_5_4_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,14,8128,64501,13773,9848,-1
127643,NULL,500,200,1,100_43_24_11_6_4_4_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,15,8128,64501,13353,9568,-1
978083,NULL,500,200,1,95_42_26_13_10_7_5_4_4_4_4_3_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,16,8128,64501,13653,9768,-1
678971,NULL,500,200,1,364_133_52_21_13_8_5_3_3_3_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,17,8128,64501,18285,12856,-1
554003,NULL,500,200,1,194_67_31_17_9_6_5_4_4_4_3_3_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,18,8128,64501,15213,10808,-1
862445,NULL,500,200,1,190_102_51_30_18_15_7_6_5_5_5_4_4_4_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,19,8128,64501,16353,11568,-1
952403,NULL,500,200,1,23_12_10_6_6_5_3_3_3_3_3_3_3_3_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,20,8128,64501,12033,8688,-1
377205,NULL,500,200,1,290_114_69_35_19_10_7_6_6_4_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,21,8128,64501,17745,12496,-1
861812,NULL,500,200,1,249_83_48_26_17_13_12_7_6_4_4_3_3_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,22,8128,64501,16725,11816,-1
290022,NULL,500,200,1,146_50_7_4_3_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,23,8128,64501,13521,9680,-1
703940,NULL,500,200,1,356_64_24_16_10_8_6_6_3_3_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,24,8128,64501,17001,12000,-1
828320,NULL,500,200,1,184_58_21_13_8_6_4_3_3_3_2_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,25,8128,64501,14709,10472,-1
377732,NULL,500,200,1,185_106_35_17_8_5_3_3_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,26,8128,64501,15393,10928,-1
656053,NULL,500,200,1,134_59_33_17_8_6_5_3_3_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,27,8128,64501,14241,10160,-1
729727,NULL,500,200,1,343_208_31_19_8_3_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,28,8128,64501,18369,12912,-1
88384,NULL,500,200,1,73_14_4_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,29,8128,64501,12117,8744,-1
761778,NULL,500,200,1,184_88_41_22_18_12_9_7_5_3_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,30,8128,64501,15669,11112,-1
195890,NULL,500,200,1,283_126_57_28_17_13_10_4_3_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,31,8128,64501,17541,12360,-1
289810,NULL,500,200,1,127_38_13_5_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,32,8128,64501,13197,9464,-1
241210,NULL,500,200,1,275_76_35_19_11_6_3_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,33,8128,64501,16149,11432,-1
284534,NULL,500,200,1,259_112_56_23_11_8_8_5_4_3_3_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,34,8128,64501,16905,11936,-1
943446,NULL,500,200,1,81_20_6_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,35,8128,64501,12309,8872,-1
433380,NULL,500,200,1,377_193_105_39_15_8_5_4_3_3_2_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,36,8128,64501,20097,14064,-1
856617,NULL,500,200,1,102_31_19_11_9_5_4_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,37,8128,64501,13197,9464,-1
136763,NULL,500,200,1,44_17_13_9_7_7_7_4_3_2_2_2_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,38,8128,64501,12453,8968,-1
248038,NULL,500,200,1,218_87_33_19_10_9_8_5_2_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,39,8128,64501,15741,11160,-1
11616,NULL,500,200,1,322_123_67_29_22_17_10_8_7_6_5_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,40,8128,64501,18417,12944,-1
473199,NULL,500,200,1,267_146_66_32_15_13_8_7_4_3_3_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,41,8128,64501,17769,12512,-1
950427,NULL,500,200,1,387_212_61_26_15_10_4_3_3_2_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,42,8128,64501,19725,13816,-1
520071,NULL,500,200,1,337_105_61_32_20_12_8_4_4_4_4_3_3_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,43,8128,64501,18165,12776,-1
719362,NULL,500,200,1,199_73_47_32_24_17_8_5_3_2_2_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,44,8128,64501,15993,11328,-1
163538,NULL,500,200,1,234_82_21_4_4_3_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,45,8128,64501,15225,10816,-1
59585,NULL,500,200,1,93_32_12_7_7_6_5_5_3_3_3_3_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,46,8128,64501,13173,9448,-1
223269,NULL,500,200,1,330_168_88_48_30_24_14_13_7_7_6_6_5_5_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,47,8128,64501,20013,14008,-1
952670,NULL,500,200,1,262_127_66_42_29_19_13_9_6_6_5_4_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,48,8128,64501,18081,12720,-1
697235,NULL,500,200,1,329_141_54_30_19_16_9_7_3_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,49,8128,64501,18297,12864,-1
929771,NULL,500,200,1,9_5_3_3_3_3_3_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,50,8128,64501,11373,8248,-1
774914,NULL,500,200,1,84_33_12_7_5_3_3_3_2_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,51,8128,64501,12873,9248,-1
260829,NULL,500,200,1,472_290_151_85_39_32_20_17_13_9_7_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,52,8128,64501,24645,17096,-1
191362,NULL,500,200,1,273_102_47_21_13_9_6_5_3_3_3_3_3_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,53,8128,64501,16893,11928,-1
612630,NULL,500,200,1,139_56_26_10_6_5_3_2_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,54,8128,64501,14013,10008,-1
141531,NULL,500,200,1,365_170_93_50_37_28_16_13_6_5_4_3_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,55,8128,64501,20481,14320,-1
484078,NULL,500,200,1,120_69_27_14_6_6_5_3_3_3_3_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,56,8128,64501,14157,10104,-1
538094,NULL,500,200,1,78_25_18_11_8_5_3_3_3_3_3_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,57,8128,64501,12969,9312,-1
252498,NULL,500,200,1,126_49_26_19_14_9_5_4_4_2_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,58,8128,64501,14145,10096,-1
971107,NULL,500,200,1,195_55_15_5_3_2_2_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,59,8128,64501,14325,10216,-1
58347,NULL,500,200,1,181_66_33_20_16_12_9_7_5_4_4_3_1,16_24_32_40_48_56_64_72_80_88_96_104_112_120_128,60,8128,64501,15321,10880,-1
