qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
965203,NULL,200,200,1,200_200_200_174_91_25_7_4_2_1,12_24_36_48_60_72_84_96_108_128,0,8128,25801,18065,13252,NULL
539018,NULL,200,200,1,200_199_199_196_181_130_34_19_5_1,12_24_36_48_60_72_84_96_108_128,1,8128,25801,22249,16396,NULL
553452,NULL,200,200,1,199_197_186_135_84_29_11_4_2_1,12_24_36_48_60_72_84_96_108_128,2,8128,25801,17169,12580,NULL
474849,NULL,200,200,1,200_199_171_110_52_22_6_5_3_1,12_24_36_48_60_72_84_96_108_128,3,8128,25801,15913,11640,NULL
189013,NULL,200,200,1,200_200_184_134_71_23_12_3_2_1,12_24_36_48_60_72_84_96_108_128,4,8128,25801,16881,12364,NULL
37540,NULL,200,200,1,200_199_195_141_62_36_15_8_4_1,12_24_36_48_60_72_84_96_108_128,5,8128,25801,17393,12752,NULL
397715,NULL,200,200,1,200_195_98_38_26_14_9_4_3_1,12_24_36_48_60_72_84_96_108_128,6,8128,25801,13017,9468,NULL
503696,NULL,200,200,1,200_200_197_191_154_109_58_19_11_1,12_24_36_48_60_72_84_96_108_128,7,8128,25801,21913,16156,NULL
775155,NULL,200,200,1,200_200_181_99_18_7_3_2_1,12_24_36_48_60_72_84_96_108_128,8,8128,25801,14961,10920,NULL
339562,NULL,200,200,1,200_200_199_164_104_29_9_2_1_1,12_24_36_48_60_72_84_96_108_128,9,8128,25801,18137,13304,NULL
969910,NULL,200,200,1,200_183_90_26_11_7_2_2_2_1,12_24_36_48_60_72_84_96_108_128,10,8128,25801,11985,8692,NULL
112810,NULL,200,200,1,199_188_156_116_68_46_25_21_11_1,12_24_36_48_60_72_84_96_108_128,11,8128,25801,16969,12448,NULL
657243,NULL,200,200,1,200_200_200_200_190_128_42_13_1,12_24_36_48_60_72_84_96_108_128,12,8128,25801,22369,16476,NULL
28686,NULL,200,200,1,200_200_186_172_119_72_33_11_6_1,12_24_36_48_60_72_84_96_108_128,13,8128,25801,19633,14436,NULL
219726,NULL,200,200,1,199_196_170_103_77_54_24_11_5_1,12_24_36_48_60_72_84_96_108_128,14,8128,25801,17065,12508,NULL
127643,NULL,200,200,1,200_200_197_169_101_38_17_7_2_1,12_24_36_48_60_72_84_96_108_128,15,8128,25801,18513,13588,NULL
978083,NULL,200,200,1,200_200_197_192_160_108_41_17_10_1,12_24_36_48_60_72_84_96_108_128,16,8128,25801,21681,15980,NULL
678971,NULL,200,200,1,200_200_199_191_134_52_25_3_2_1,12_24_36_48_60_72_84_96_108_128,17,8128,25801,19713,14488,NULL
554003,NULL,200,200,1,200_199_168_92_32_17_10_6_4_1,12_24_36_48_60_72_84_96_108_128,18,8128,25801,15281,11168,NULL
862445,NULL,200,200,1,200_198_188_121_60_29_9_5_4_1,12_24_36_48_60_72_84_96_108_128,19,8128,25801,16657,12200,NULL
952403,NULL,200,200,1,200_200_200_184_117_64_18_8_4_1,12_24_36_48_60_72_84_96_108_128,20,8128,25801,19553,14372,NULL
377205,NULL,200,200,1,200_199_199_186_128_92_37_16_8_1,12_24_36_48_60_72_84_96_108_128,21,8128,25801,20705,15244,NULL
861812,NULL,200,200,1,200_199_199_194_163_114_70_18_8_1,12_24_36_48_60_72_84_96_108_128,22,8128,25801,22305,16444,NULL
290022,NULL,200,200,1,200_200_198_192_181_133_82_29_11_1,12_24_36_48_60_72_84_96_108_128,23,8128,25801,23305,17200,NULL
703940,NULL,200,200,1,199_196_181_132_106_72_48_27_7_1,12_24_36_48_60_72_84_96_108_128,24,8128,25801,19145,14072,NULL
828320,NULL,200,200,1,200_199_197_193_149_66_29_8_2_1,12_24_36_48_60_72_84_96_108_128,25,8128,25801,20305,14932,NULL
377732,NULL,200,200,1,200_200_199_196_137_91_27_10_4_1,12_24_36_48_60_72_84_96_108_128,26,8128,25801,20657,15200,NULL
656053,NULL,200,200,1,180_63_32_22_15_7_5_3_2_1,12_24_36_48_60_72_84_96_108_128,27,8128,25801,8881,6364,NULL
729727,NULL,200,200,1,199_199_189_121_72_28_13_8_5_1,12_24_36_48_60_72_84_96_108_128,28,8128,25801,16985,12448,NULL
88384,NULL,200,200,1,200_199_196_178_148_83_55_20_6_1,12_24_36_48_60_72_84_96_108_128,29,8128,25801,21009,15468,NULL
761778,NULL,200,200,1,200_199_198_162_33_13_9_6_3_1,12_24_36_48_60_72_84_96_108_128,30,8128,25801,16793,12300,NULL
195890,NULL,200,200,1,199_199_196_182_134_78_29_8_3_1,12_24_36_48_60_72_84_96_108_128,31,8128,25801,20073,14760,NULL
289810,NULL,200,200,1,200_199_199_196_126_34_9_1,12_24_36_48_60_72_84_96_108_128,32,8128,25801,19009,13956,NULL
241210,NULL,200,200,1,200_200_200_193_170_128_42_13_5_1,12_24_36_48_60_72_84_96_108_128,33,8128,25801,22057,16252,NULL
284534,NULL,200,200,1,200_200_162_51_13_7_5_2_2_1,12_24_36_48_60_72_84_96_108_128,34,8128,25801,13889,10120,NULL
943446,NULL,200,200,1,199_197_188_153_95_57_29_13_8_1,12_24_36_48_60_72_84_96_108_128,35,8128,25801,18689,13732,NULL
433380,NULL,200,200,1,199_197_189_162_104_43_18_7_2_1,12_24_36_48_60_72_84_96_108_128,36,8128,25801,18353,13468,NULL
856617,NULL,200,200,1,200_200_200_196_125_50_21_7_4_1,12_24_36_48_60_72_84_96_108_128,37,8128,25801,19681,14468,NULL
136763,NULL,200,200,1,200_199_190_149_38_11_2_2_2_1,12_24_36_48_60_72_84_96_108_128,38,8128,25801,16305,11932,NULL
248038,NULL,200,200,1,200_200_181_65_30_18_10_4_3_1,12_24_36_48_60_72_84_96_108_128,39,8128,25801,15001,10956,NULL
