qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
965203,NULL,200,500,1,34_7_2_2_2_2_1,25_50_75_100_125_150_175_200_225_256,0,32640,51401,7622,6225,NULL
539018,NULL,200,500,1,60_11_7_5_2_2_1,25_50_75_100_125_150_175_200_225_256,1,32640,51401,8724,7175,NULL
553452,NULL,200,500,1,42_6_2_1,25_50_75_100_125_150_175_200_225_256,2,32640,51401,7651,6250,NULL
474849,NULL,200,500,1,43_6_1_1,25_50_75_100_125_150_175_200_225_256,3,32640,51401,7651,6250,NULL
189013,NULL,200,500,1,73_14_5_2_1,25_50_75_100_125_150_175_200_225_256,4,32640,51401,8927,7350,NULL
37540,NULL,200,500,1,107_13_3_3_2_2_2_2_2_1,25_50_75_100_125_150_175_200_225_256,5,32640,51401,10157,8412,NULL
397715,NULL,200,500,1,21_5_3_1,25_50_75_100_125_150_175_200_225_256,6,32640,51401,7042,5725,NULL
503696,NULL,200,500,1,164_42_8_2_2_2_2_2_2_1,25_50_75_100_125_150_175_200_225_256,7,32640,51401,12767,10662,NULL
775155,NULL,200,500,1,23_6_4_3_3_2_2_1,25_50_75_100_125_150_175_200_225_256,8,32640,51401,7448,6075,NULL
339562,NULL,200,500,1,200_186_130_76_54_23_11_11_11_11,25_50_75_100_125_150_175_200_225_256,9,32640,51401,26635,22616,NULL
969910,NULL,200,500,1,33_11_6_5_4_3_3_3_2_1,25_50_75_100_125_150_175_200_225_256,10,32640,51401,8243,6762,NULL
112810,NULL,200,500,1,83_16_9_4_3_3_2_1,25_50_75_100_125_150_175_200_225_256,11,32640,51401,9681,8000,NULL
657243,NULL,200,500,1,40_10_7_4_1,25_50_75_100_125_150_175_200_225_256,12,32640,51401,7970,6525,NULL
28686,NULL,200,500,1,37_8_6_4_4_3_2_2_2_1,25_50_75_100_125_150_175_200_225_256,13,32640,51401,8185,6712,NULL
219726,NULL,200,500,1,30_7_4_3_1,25_50_75_100_125_150_175_200_225_256,14,32640,51401,7477,6100,NULL
127643,NULL,200,500,1,33_7_2_2_2_2_1,25_50_75_100_125_150_175_200_225_256,15,32640,51401,7593,6200,NULL
978083,NULL,200,500,1,195_156_87_36_35_26_18_9_1,25_50_75_100_125_150_175_200_225_256,16,32640,51401,22499,19050,NULL
678971,NULL,200,500,1,36_9_5_3_3_3_2_2_2_1,25_50_75_100_125_150_175_200_225_256,17,32640,51401,8098,6637,NULL
554003,NULL,200,500,1,20_5_3_2_1,25_50_75_100_125_150_175_200_225_256,18,32640,51401,7071,5750,NULL
862445,NULL,200,500,1,23_5_2_2_1,25_50_75_100_125_150_175_200_225_256,19,32640,51401,7129,5800,NULL
952403,NULL,200,500,1,33_2_1,25_50_75_100_125_150_175_200_225_256,20,32640,51401,7216,5875,NULL
377205,NULL,200,500,1,29_5_4_3_2_2_2_1,25_50_75_100_125_150_175_200_225_256,21,32640,51401,7564,6175,NULL
861812,NULL,200,500,1,104_15_4_1,25_50_75_100_125_150_175_200_225_256,22,32640,51401,9768,8075,NULL
290022,NULL,200,500,1,105_28_15_7_4_2_2_2_2_1,25_50_75_100_125_150_175_200_225_256,23,32640,51401,11056,9187,NULL
703940,NULL,200,500,1,41_5_3_3_2_2_2_1,25_50_75_100_125_150_175_200_225_256,24,32640,51401,7883,6450,NULL
828320,NULL,200,500,1,41_6_3_3_2_2_1,25_50_75_100_125_150_175_200_225_256,25,32640,51401,7854,6425,NULL
377732,NULL,200,500,1,200_179_70_8_8_8_8_8_8_8,25_50_75_100_125_150_175_200_225_256,26,32640,51401,20669,17473,NULL
656053,NULL,200,500,1,46_14_10_7_5_5_2_1,25_50_75_100_125_150_175_200_225_256,27,32640,51401,8782,7225,NULL
729727,NULL,200,500,1,68_18_8_4_3_3_2_2_2_1,25_50_75_100_125_150_175_200_225_256,28,32640,51401,9403,7762,NULL
88384,NULL,200,500,1,102_21_16_8_6_5_4_1,25_50_75_100_125_150_175_200_225_256,29,32640,51401,10899,9050,NULL
