qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
959591,NULL,200,500,1,96_44_26_13_8_4_3_1,42_84_126_168_210_252_294_336_378_420,0,87990,84201,18525,16548,NULL
535883,NULL,200,500,1,200_200_199_189_130_79_46_21_10_1,42_84_126_168_210_252_294_336_378_420,1,87990,84201,59005,53508,NULL
550234,NULL,200,500,1,200_200_198_157_105_45_19_11_7_1,42_84_126_168_210_252_294_336_378_420,2,87990,84201,52933,47964,NULL
472088,NULL,200,500,1,200_200_199_173_114_47_14_6_2_1,42_84_126_168_210_252_294_336_378_420,3,87990,84201,53531,48510,NULL
187914,NULL,200,500,1,200_195_129_65_35_16_6_3_1,42_84_126_168_210_252_294_336_378_420,4,87990,84201,39455,35658,NULL
37322,NULL,200,500,1,200_200_183_52_16_2_1,42_84_126_168_210_252_294_336_378_420,5,87990,84201,39639,35826,NULL
395402,NULL,200,500,1,200_189_125_47_19_7_6_2_2_1,42_84_126_168_210_252_294_336_378_420,6,87990,84201,37063,33474,NULL
500767,NULL,200,500,1,200_200_200_198_135_49_14_7_2_1,42_84_126_168_210_252_294_336_378_420,7,87990,84201,55831,50610,NULL
770647,NULL,200,500,1,200_136_24_8_2_1,42_84_126_168_210_252_294_336_378_420,8,87990,84201,26621,23940,NULL
337587,NULL,200,500,1,200_189_130_76_39_22_11_8_1,42_84_126_168_210_252_294_336_378_420,9,87990,84201,40651,36750,NULL
964270,NULL,200,500,1,138_70_37_15_8_3_1,42_84_126_168_210_252_294_336_378_420,10,87990,84201,22067,19782,NULL
112154,NULL,200,500,1,200_200_199_126_45_13_5_2_1,42_84_126_168_210_252_294_336_378_420,11,87990,84201,45941,41580,NULL
653421,NULL,200,500,1,200_200_193_145_83_39_19_8_3_1,42_84_126_168_210_252_294_336_378_420,12,87990,84201,50541,45780,NULL
28519,NULL,200,500,1,200_200_200_193_175_134_86_34_9_1,42_84_126_168_210_252_294_336_378_420,13,87990,84201,66227,60102,NULL
