qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
965203,NULL,200,200,1,200_200_200_200_200_200_200_200_200_1,12_24_36_48_60_72_84_96_108_128,0,8128,25801,34001,25600,NULL
539018,NULL,200,200,1,200_1,17_128,1,8128,25801,27601,25600,200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_190.05_180.1_170.15_160.2_150.25_140.3_130.35_120.4_110.45_100.5_90.55_80.6_70.65_60.7_50.75_40.8_30.85_20.9_10.95_1.0
553452,NULL,200,200,1,200_200_199_1,20_56_92_128,2,8128,25801,29161,25564,-1
474849,NULL,200,200,1,200_198_6_1,44_72_100_128,3,8128,25801,22929,20112,-1
189013,NULL,200,200,1,200_200_197_1,86_100_114_128,4,8128,25801,29147,25558,-1
37540,NULL,200,200,1,197_154_40_1,86_100_114_128,5,8128,25801,25439,22674,-1
397715,NULL,200,200,1,200_154_1,100_114_128,6,8128,25801,27573,24956,-1
503696,NULL,200,200,1,199_128_1,100_114_128,7,8128,25801,27087,24578,-1
775155,NULL,200,200,1,200_200_1,100_114_128,8,8128,25801,28401,25600,-1
339562,NULL,200,200,1,200_200_1,100_114_128,9,8128,25801,28401,25600,-1
969910,NULL,200,200,1,197_38_1,112_120_128,10,8128,25801,26421,24280,-1
112810,NULL,200,200,1,198_148_1,112_120_128,11,8128,25801,27753,25168,-1
657243,NULL,200,200,1,45_1,119_128,12,8128,25801,25586,24205,-1
28686,NULL,200,200,1,184_21_1,110_119_128,13,8128,25801,25866,23845,-1
219726,NULL,200,200,1,170_1,119_128,14,8128,25801,27211,25330,-1
127643,NULL,200,200,1,196_32_1,118_123_128,15,8128,25801,26853,24740,-1
