qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
965203,NULL,200,500,1,200_200_200_200_200_200_200_200_200_1,25_50_75_100_125_150_175_200_225_256,0,32640,51401,59601,51200,NULL
539018,NULL,200,500,1,200_1,31_256,1,32640,51401,53201,51200,200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_193.5806_187.1613_180.7419_174.3226_167.9032_161.4839_155.0645_148.6452_142.2258_135.8065_129.3871_122.9677_116.5484_110.129_103.7097_97.2903_90.871_84.4516_78.0323_71.6129_65.1935_58.7742_52.3548_45.9355_39.5161_33.0968_26.6774_20.2581_13.8387_7.4194_1.0
553452,NULL,200,500,1,200_200_200_200_1,32_88_144_200_256,2,32640,51401,55601,51200,-1
474849,NULL,200,500,1,200_200_200_200_200_1,51_92_133_174_215_256,3,32640,51401,56401,51200,-1
189013,NULL,200,500,1,200_104_1,78_167_256,4,32640,51401,45073,42656,-1
37540,NULL,200,500,1,200_196_192_54_1,116_151_186_221_256,5,32640,51401,49439,45670,-1
397715,NULL,200,500,1,200_200_67_3_1,152_178_204_230_256,6,32640,51401,45701,42620,-1
503696,NULL,200,500,1,200_200_200_200_1,152_178_204_230_256,7,32640,51401,55601,51200,-1
775155,NULL,200,500,1,9_5_3_1,199_218_237_256,8,32640,51401,41392,40123,-1
339562,NULL,200,500,1,200_200_200_200_200_1,161_180_199_218_237_256,9,32640,51401,56401,51200,-1
