qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
959591,NULL,200,500,1,200_200_200_200_200_200_200_200_200_1,42_84_126_168_210_252_294_336_378_420,0,87990,84201,92401,84000,NULL
535883,NULL,200,500,1,200_200_1,43_169_420,1,87990,84201,86801,84000,200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_195.2619_190.5238_185.7857_181.0476_176.3095_171.5714_166.8333_162.0952_157.3571_152.619_147.881_143.1429_138.4048_133.6667_128.9286_124.1905_119.4524_114.7143_109.9762_105.2381_100.5_95.7619_91.0238_86.2857_81.5476_76.8095_72.0714_67.3333_62.5952_57.8571_53.119_48.381_43.6429_38.9048_34.1667_29.4286_24.6905_19.9524_15.2143_10.4762_5.7381_1.0
550234,NULL,200,500,1,200_200_200_200_200_1,45_120_195_270_345_420,2,87990,84201,89201,84000,-1
472088,NULL,200,500,1,200_200_200_200_43_43_1,48_110_172_234_296_358_420,3,87990,84201,69277,64532,-1
187914,NULL,200,500,1,200_200_200_200_200_200_200_1,49_102_155_208_261_314_367_420,4,87990,84201,90801,84000,-1
37322,NULL,200,500,1,200_200_200_200_106_101_27_1,49_102_155_208_261_314_367_420,5,87990,84201,69939,64602,-1
395402,NULL,200,500,1,200_200_200_200_200_200_184_1,49_102_155_208_261_314_367_420,6,87990,84201,89889,83152,-1
500767,NULL,200,500,1,200_200_200_200_200_1,50_124_198_272_346_420,7,87990,84201,89201,84000,-1
770647,NULL,200,500,1,200_200_200_200_200_200_1,54_115_176_237_298_359_420,8,87990,84201,90001,84000,-1
337587,NULL,200,500,1,200_200_200_200_200_200_1,54_115_176_237_298_359_420,9,87990,84201,90001,84000,-1
