qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
965203,NULL,500,200,1,500_500_500_500_500_500_500_500_500_1,12_24_36_48_60_72_84_96_108_128,0,8128,64501,85001,64000,NULL
539018,NULL,500,200,1,500_1,17_128,1,8128,64501,69001,64000,500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_500.0_475.05_450.1_425.15_400.2_375.25_350.3_325.35_300.4_275.45_250.5_225.55_200.6_175.65_150.7_125.75_100.8_75.85_50.9_25.95_1.0
553452,NULL,500,200,1,1,128,2,8128,64501,67001,64000,-1
474849,NULL,500,200,1,500_500_500_500_500_500_500_464_1,120_121_122_123_124_125_126_127_128,3,8128,64501,82821,63964,-1
189013,NULL,500,200,1,1,128,4,8128,64501,67001,64000,-1
37540,NULL,500,200,1,1,128,5,8128,64501,67001,64000,-1
397715,NULL,500,200,1,43_13_1,126_127_128,6,8128,64501,66281,63056,-1
503696,NULL,500,200,1,468_341_98_1,125_126_127_128,7,8128,64501,70036,63407,-1
775155,NULL,500,200,1,6_1,127_128,8,8128,64501,66531,63506,-1
339562,NULL,500,200,1,346_1,127_128,9,8128,64501,68231,63846,-1
969910,NULL,500,200,1,4_1,127_128,10,8128,64501,66521,63504,-1
112810,NULL,500,200,1,172_1,127_128,11,8128,64501,67361,63672,-1
657243,NULL,500,200,1,184_1,127_128,12,8128,64501,67421,63684,-1
28686,NULL,500,200,1,1,128,13,8128,64501,67001,64000,-1
219726,NULL,500,200,1,1,127_128,14,8128,64501,66501,63500,-1
127643,NULL,500,200,1,62_1,127_128,15,8128,64501,66811,63562,-1
978083,NULL,500,200,1,49_1,127_128,16,8128,64501,66746,63549,-1
678971,NULL,500,200,1,345_1,127_128,17,8128,64501,68226,63845,-1
554003,NULL,500,200,1,152_1,127_128,18,8128,64501,67261,63652,-1
862445,NULL,500,200,1,1,128,19,8128,64501,67001,64000,-1
952403,NULL,500,200,1,2_1,127_128,20,8128,64501,66511,63502,-1
377205,NULL,500,200,1,1,127_128,21,8128,64501,66501,63500,-1
861812,NULL,500,200,1,3_1,127_128,22,8128,64501,66516,63503,-1
290022,NULL,500,200,1,318_1,127_128,23,8128,64501,68091,63818,-1
