qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
959591,NULL,200,500,1,200_200_200_200_200_200_200_200_200_1,42_84_126_168_210_252_294_336_378_420,0,87990,84201,92401,84000,NULL
535883,NULL,200,500,1,200_1,43_420,1,87990,84201,86001,84000,200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_200.0_195.2619_190.5238_185.7857_181.0476_176.3095_171.5714_166.8333_162.0952_157.3571_152.619_147.881_143.1429_138.4048_133.6667_128.9286_124.1905_119.4524_114.7143_109.9762_105.2381_100.5_95.7619_91.0238_86.2857_81.5476_76.8095_72.0714_67.3333_62.5952_57.8571_53.119_48.381_43.6429_38.9048_34.1667_29.4286_24.6905_19.9524_15.2143_10.4762_5.7381_1.0
550234,NULL,200,500,1,1,420,2,87990,84201,85201,84000,-1
472088,NULL,200,500,1,192_187_179_167_154_140_112_96_74_53_45_33_23_15_11_5_3_2_2_2_1,400_401_402_403_404_405_406_407_408_409_410_411_412_413_414_415_416_417_418_419_420,3,87990,84201,88676,81495,-1
187914,NULL,200,500,1,122_105_85_73_64_53_42_33_22_13_6_4_1,408_409_410_411_412_413_414_415_416_417_418_419_420,4,87990,84201,85911,82222,-1
37322,NULL,200,500,1,1,410_411_412_413_414_415_416_417_418_419_420,5,87990,84201,83201,82000,-1
395402,NULL,200,500,1,17_12_7_7_6_6_4_2_2_2_1,409_410_411_412_413_414_415_416_417_418_419_420,6,87990,84201,83326,81865,-1
500767,NULL,200,500,1,29_26_24_20_15_9_6_2_2_1,409_410_411_412_413_414_415_416_417_418_419_420,7,87990,84201,83666,81933,-1
770647,NULL,200,500,1,6_5_3_2_1,408_409_410_411_412_413_414_415_416_417_418_419_420,8,87990,84201,82881,81616,-1
337587,NULL,200,500,1,200_196_77_47_40_24_18_14_9_8_4_1,407_408_409_410_411_412_413_414_415_416_417_418_419_420,9,87990,84201,85786,82037,-1
964270,NULL,200,500,1,36_30_24_15_8_6_4_2_1,409_410_411_412_413_414_415_416_417_418_419_420,10,87990,84201,83626,81925,-1
112154,NULL,200,500,1,177_165_129_103_72_60_39_22_5_2_1,409_410_411_412_413_414_415_416_417_418_419_420,11,87990,84201,86871,82574,-1
653421,NULL,200,500,1,200_200_200_200_197_179_116_38_12_4_1,410_411_412_413_414_415_416_417_418_419_420,12,87990,84201,89931,83346,-1
28519,NULL,200,500,1,9_8_5_5_4_2_1,412_413_414_415_416_417_418_419_420,13,87990,84201,83766,82433,-1
218449,NULL,200,500,1,49_32_16_9_5_3_3_1,412_413_414_415_416_417_418_419_420,14,87990,84201,84186,82517,-1
126901,NULL,200,500,1,180_162_126_98_65_39_8_2_1,412_413_414_415_416_417_418_419_420,15,87990,84201,87001,83080,-1
972396,NULL,200,500,1,167_124_88_57_29_4_1,413_414_415_416_417_418_419_420,16,87990,84201,86146,83069,-1
675023,NULL,200,500,1,1,414_415_416_417_418_419_420,17,87990,84201,84001,82800,-1
550782,NULL,200,500,1,3_1,414_415_416_417_418_419_420,18,87990,84201,84016,82803,-1
857430,NULL,200,500,1,3_2_2_2_2_1,414_415_416_417_418_419_420,19,87990,84201,84056,82811,-1
946865,NULL,200,500,1,42_34_23_14_9_3_1,414_415_416_417_418_419_420,20,87990,84201,84626,82925,-1
375012,NULL,200,500,1,8_4_1,414_415_416_417_418_419_420,21,87990,84201,84061,82812,-1
856800,NULL,200,500,1,12_9_2_2_2_2_1,413_414_415_416_417_418_419_420,22,87990,84201,83946,82629,-1
288335,NULL,200,500,1,17_16_13_6_4_4_3_1,413_414_415_416_417_418_419_420,23,87990,84201,84116,82663,-1
699847,NULL,200,500,1,179_160_128_97_63_19_2_1,413_414_415_416_417_418_419_420,24,87990,84201,87041,83248,-1
823503,NULL,200,500,1,11_8_6_2_2_2_1,414_415_416_417_418_419_420,25,87990,84201,84156,82831,-1
375536,NULL,200,500,1,9_6_4_3_2_2_1,414_415_416_417_418_419_420,26,87990,84201,84131,82826,-1
652238,NULL,200,500,1,3_2_2_1,414_415_416_417_418_419_420,27,87990,84201,84036,82807,-1
725483,NULL,200,500,1,8_5_4_3_3_2_1,413_414_415_416_417_418_419_420,28,87990,84201,83926,82625,-1
87870,NULL,200,500,1,4_4_2_1,413_414_415_416_417_418_419_420,29,87990,84201,83851,82610,-1
757348,NULL,200,500,1,20_16_12_7_4_4_2_1,413_414_415_416_417_418_419_420,30,87990,84201,84126,82665,-1
194751,NULL,200,500,1,8_6_6_4_4_4_1,413_414_415_416_417_418_419_420,31,87990,84201,83961,82632,-1
288125,NULL,200,500,1,4_3_3_2_2_1,412_413_414_415_416_417_418_419_420,32,87990,84201,83671,82414,-1
239807,NULL,200,500,1,1,412_413_414_415_416_417_418_419_420,33,87990,84201,83601,82400,-1
282879,NULL,200,500,1,1,411_412_413_414_415_416_417_418_419_420,34,87990,84201,83401,82200,-1
937959,NULL,200,500,1,22_19_12_10_6_4_1,411_412_413_414_415_416_417_418_419_420,35,87990,84201,83766,82273,-1
430860,NULL,200,500,1,28_25_23_20_17_12_7_5_3_1,411_412_413_414_415_416_417_418_419_420,36,87990,84201,84101,82340,-1
851636,NULL,200,500,1,14_9_7_5_3_2_2_2_2_1,411_412_413_414_415_416_417_418_419_420,37,87990,84201,83631,82246,-1
135967,NULL,200,500,1,52_52_52_52_52_52_52_52_52_52_52,410_411_412_413_414_415_416_417_418_419_420,38,87990,84201,85859,82520,-1
246596,NULL,200,500,1,94_69_31_14_9_7_5_4_2_1,410_411_412_413_414_415_416_417_418_419_420,39,87990,84201,84376,82235,-1
11548,NULL,200,500,1,1,411_412_413_414_415_416_417_418_419_420,40,87990,84201,83401,82200,-1
470447,NULL,200,500,1,29_16_8_4_1,411_412_413_414_415_416_417_418_419_420,41,87990,84201,83686,82257,-1
944901,NULL,200,500,1,87_51_43_32_19_9_7_4_1,411_412_413_414_415_416_417_418_419_420,42,87990,84201,84661,82452,-1
517046,NULL,200,500,1,6_5_4_3_3_2_2_1,411_412_413_414_415_416_417_418_419_420,43,87990,84201,83526,82225,-1
715179,NULL,200,500,1,24_20_18_16_8_6_6_4_1,411_412_413_414_415_416_417_418_419_420,44,87990,84201,83911,82302,-1
